PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,FAC_NAME,PRVDR_NUM,STATE_CD,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,ZIP_CD
01,08,"FLOYD E TUTT FANN STATE VETERANS HOME",016628,AL,00,"",35811
01,08,"BILL NICHOLS STATE VETERANS HOME",016630,AL,00,"",35010
01,08,"WILLIAM F GREEN STATE VETERANS HOME",016631,AL,00,"",36507
04,01,"ARKANSAS STATE HOSP PSYCHIATRIC DIV",044000,AR,05,19860802,72201
04,01,"ARKANSAS STATE HOSPITAL",044011,AR,00,"",72205
01,15,"TRI STATE ADVANCED SURGERY CENTER, LLC",04C0001085,AR,00,"",72364
02,10,"TRI STATE NURSING HOME",04E117,AR,01,19861120,72360
"",01,"ARIZONA STATE ELKS ASSN HOSP",03028E,AZ,00,"",85705
04,01,"ARIZONA STATE HOSP",034002,AZ,05,19880216,85008
04,01,"ARIZONA STATE HOSPITAL",034016,AZ,03,19970527,85008
04,01,"ARIZONA STATE HOSPITAL",034021,AZ,00,"",85008
03,02,"ARIZONA STATE VETERAN HOME-PHX",035234,AZ,00,"",85012
03,02,"ARIZONA STATE VETERAN HOME-TUCSON",035284,AZ,00,"",85713
"",01,"CALIFORNIA STATE POLYTECHNIC COL HOSP",05001E,CA,00,"",93401
01,01,"AGNEWS STATE HOSPITAL",050662,CA,01,20090413,95134
01,01,"CAMARILLO STATE HOSPITAL",050666,CA,01,19970630,93010
01,01,"NAPA STATE HOSPITAL",050691,CA,01,19910501,94558
04,01,"NAPA STATE HOSPITAL",054071,CA,05,19900501,94558
04,01,"DEPT OF STATE HOSPITALS - NAPA",054122,CA,00,"",94558
04,01,"DEPT OF STATE HOSPITALS - METROPOLITAN - PSY",054133,CA,00,"",90650
04,01,"CAMARILLO STATE HOSP & DEVELOPMTL CTR",054134,CA,01,19970630,93012
01,14,"GOLDEN STATE THERAPY CENTER",054555,CA,01,20071009,95240
01,05,"GOLDEN STATE HOME HEALTH CARE & HOSPICE, INC",059442,CA,00,"",95376
01,05,"GOLDEN STATE HOME HEALTH, LLC",059481,CA,00,"",94621
02,10,"AGNEWS STATE HOSPITAL D/P SNF",05A314,CA,04,20090413,95134
02,10,"PATTON STATE HOSPITAL - DP/SNF",05A320,CA,01,19910625,92369
02,10,"DEPT OF STATE HOSPITALS - NAPA D/P SNF",05A357,CA,00,"",94558
02,10,"CAMARILLO STATE HOSP & DEV CENTER",05A399,CA,01,19970630,93010
01,15,"STATE OF THE ART SURGERY CENTER,LLC",05C0001971,CA,00,"",90069
02,11,"NAPA STATE HOSP",05G009,CA,01,19870815,94558
02,11,"STOCKTON STATE HOSP",05G012,CA,01,19960201,95202
02,11,"CAMARILLO STATE HOSPITAL",05G013,CA,01,19970630,93010
02,11,"GOLDEN STATE CARE CENTER",05G015,CA,00,"",91706
02,11,"AGNEWS STATE HOSPITAL",05G614,CA,06,19981231,95134
02,11,"NAPA STATE HOSPITAL D/P ICFDD",05G907,CA,05,20010219,94558
01,16,"GOLDEN STATE HOME HEALTH CARE & HOSPICE, INC",551765,CA,00,"",95376
03,02,"GOLDEN STATE COLONIAL HEALTHCARE CENTER",555011,CA,00,"",91606
03,02,"GOLDEN STATE MANOR CONVALESCENT HOSP",555327,CA,05,19960730,93301
03,02,"DEPT OF STATE HOSPITALS - METROPOLITAN  SNF",555731,CA,00,"",90650
01,05,"GOLDEN STATE HOME HEALTH CARE",557457,CA,01,19980306,90230
01,15,"GOLDEN STATE EYE CENTER",55C0001033,CA,00,"",93307
02,11,"ALL STATE HOME",55G278,CA,00,"",90620
02,11,"AGNEWS STATE HOSPITAL D/P ICFDD",55G346,CA,04,20081217,95134
01,21,"TRI-STATE COMMUNITY HEALTHCARE CENTER",751185,CA,00,"",92363
03,03,"COLORADO STATE VETERANS CENTER",065268,CO,07,19900630,81135
03,02,"COLORADO STATE VETERANS CTR",065342,CO,01,19980630,81135
03,03,"COLORADO STATE VETERANS NURSING HOME",065343,CO,01,19971231,81089
03,02,"COLORADO STATE VETERANS HOME AT FITZSIMONS",065380,CO,00,"",80045
03,02,"COLORADO STATE VETERANS NURSING HOME-RIFLE",065386,CO,00,"",81650
03,02,"BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME",065394,CO,00,"",81226
01,05,"ALL STATE HOME HEALTH",067457,CO,00,"",80110
02,10,"TRINIDAD STATE NURSING HOME",06A076,CO,07,20090305,81082
02,10,"COLORADO STATE VETERANS CTR",06A093,CO,03,19850601,81226
02,10,"BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME",06A153,CO,07,20080930,81226
02,10,"COLORADO STATE VETERANS NURSING HOME-RIFLE",06A160,CO,07,20060531,81650
02,10,"COLORADO STATE VETERANS CENTER",06A165,CO,07,19950731,81135
02,10,"COLO STATE VETERANS NURSING HOME",06A187,CO,07,19951231,81089
02,10,"COLORADO STATE VETERANS CENTER-HOMELAKE",06A191,CO,07,20071130,81144
02,10,"COLO STATE VETS HOME/FITZSIMON",06A194,CO,07,20030228,80010
02,10,"COLORADO STATE VETERANS CTR",06E037,CO,07,19891130,81135
02,10,"SILVER STATE NURSING HOME",06E131,CO,07,19850201,80104
02,10,"TRINIDAD STATE NURSING HOME",06E144,CO,07,19850201,81082
02,10,"COLORADO STATE VETERANS CENTER",06E168,CO,07,19850201,81226
01,21,"STATE STREET HEALTH CENTER",071868,CT,00,"",6511
02,01,"STATE OF CONNECTICUT, DEPT OF VETERANS' AFFAIRS",072006,CT,00,"",6067
04,01,"NORWICH STATE HOSP",074005,CT,01,19961010,6360
01,05,"TRI-STATE HOME HEALTH",097046,DC,01,20110325,20011
01,09,"BMA FIRST STATE",082509,DE,00,"",19720
01,15,"FIRST STATE SURGERY CENTER LLC",08C0001013,DE,00,"",19713
01,01,"FLORIDA STATE HOSPITAL UNIT 31 MED",100298,FL,00,"",32324
02,01,"A G HOLLEY STATE HOSPITAL",102000,FL,01,20120801,33465
02,01,"FLORIDA STATE HOSPITAL UNIT 31",102007,FL,07,20040630,32324
04,01,"FLORIDA STATE HOSPITAL UNIT 14 PSYCH",104000,FL,00,"",32324
04,01,"SOUTH FLORIDA STATE HOSPITAL",104001,FL,00,"",33025
04,01,"NORTHEAST FLORIDA STATE HOSPITAL",104007,FL,00,"",32063
03,02,"FLORIDA STATE HOSPITAL",105341,FL,01,19970101,32324
03,02,"ALEXANDER NININGER STATE VETERANS NURSING HOME",106038,FL,00,"",33025
03,02,"CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME",106056,FL,00,"",32404
03,02,"DOUGLAS JACOBSON STATE VETERANS NURSING HOME",106059,FL,00,"",33954
03,02,"CLYDE E LASSEN STATE VETERANS NURSING HOME",106088,FL,00,"",32092
01,05,"STATE 27 HOME HEALTH SERVICES LLC",109261,FL,01,20130724,33134
01,05,"SUNSHINE STATE HOME HEALTH, INC.",109311,FL,00,"",33467
02,10,"FL STATE HOSPITAL",10E358,FL,07,19850201,32324
01,07,"SUN STATE MOBILE X-RAY SERVICES",10X0009834,FL,02,19981101,33442
01,01,"MEDICAL SURG CENTER OF CENTRAL STATE",110136,GA,03,20040701,31062
01,01,"GRACEWOOD STATE SCHOOL AND HOSP",110204,GA,04,20000701,30812
04,01,"REGIONAL PSYCHIATRIC DIVISION - CENTRAL STATE",114018,GA,01,20100416,31062
04,01,"SOUTHWESTERN STATE HOSPITAL",114021,GA,01,20131231,31792
01,08,"PEACH STATE REHAB",116580,GA,04,19990526,30268
01,08,"MID STATE REHABILITATION CENTER",116719,GA,04,19971112,31210
01,15,"PEACH STATE SURGICAL CENTERS, INC",11C0001301,GA,00,"",31069
04,01,"HAWAII STATE HOSP",124000,HI,04,19860919,96744
03,02,"YUKIO OKUTSU STATE VETERANS HOME",125058,HI,00,"",96720
01,09,"TRI-STATE DIALYSIS",162500,IA,00,"",52001
01,09,"TRI-STATE DIALYSIS",162508,IA,00,"",52052
01,09,"TRI-STATE DIALYSIS",162511,IA,00,"",52057
03,02,"STATE CENTER SPECIALTY CARE",165390,IA,00,"",50247
01,05,"TRI-STATE NURSING SERVICE",167214,IA,01,19951022,51105
01,12,"MMSC CLINIC - STATE CENTER",168521,IA,01,20090228,50247
01,12,"CIH STATE CENTER CLINIC",168580,IA,00,"",50247
01,15,"TRI-STATE SURGERY CENTER, LLC",16C0001010,IA,00,"",52002
02,10,"STATE CENTER MANOR",16E334,IA,07,19980401,50247
02,11,"WOODWARD STATE HOSPITAL SCHOOL",16G002,IA,05,19891031,50276
01,01,"IDAHO STATE HOSPITAL",130050,ID,01,19950701,83687
01,09,"GEM STATE REGIONAL DIALYSIS CENTER",132500,ID,00,"",83401
01,09,"TRI-STATE DIALYSIS CENTER",132509,ID,01,20140831,83501
04,01,"STATE HOSPITAL SOUTH",134010,ID,00,"",83221
03,02,"IDAHO STATE VETERANS HOME - BOISE",135131,ID,00,"",83707
03,02,"IDAHO STATE VETERANS HOME - POCATELLO",135132,ID,00,"",83201
03,02,"IDAHO STATE VETERANS HOME - LEWISTON",135133,ID,00,"",83501
02,10,"IDAHO STATE VETERANS HOME - LEWISTON",13A033,ID,07,20071130,83501
02,10,"STATE HOSPITAL SOUTH GERIATRIC",13E060,ID,07,19900311,83221
"",01,"ILLINOIS STATE PEDIATRIC INSTITUTE",14020E,IL,00,"",60608
01,01,"ELGIN STATE HOSP-MED & SURG DIV",140249,IL,04,19880601,60120
01,21,"SOUTH STATE FAMILY HEALTH CENT",141872,IL,01,20120224,60609
01,21,"SIHF - STATE STREET CENTER",141887,IL,01,20040419,62205
04,01,"ILLINOIS STATE PSYCHIATRIC INSTITUTE",144002,IL,01,19940120,60651
03,03,"TRI-STATE NURSING & REHAB CTR",145879,IL,00,"",60438
01,05,"BI-STATE HOME HEALTH",147776,IL,01,20070406,62234
01,05,"STATE HOME HEALTH AGENCY",148062,IL,00,"",60181
01,05,"TRI-STATE HOME HEALTHCARE, LLC",148365,IL,00,"",61032
01,01,"RICHMOND STATE HOSPITAL",150135,IN,01,19920605,47374
01,16,"STATE OF THE HEART CARE",151580,IN,00,"",47371
02,01,"MADISON STATE HOSPITAL",152005,IN,01,20060201,47250
04,01,"RICHMOND STATE HOSPITAL",154018,IN,00,"",47374
04,01,"MADISON STATE HOSPITAL",154019,IN,00,"",47250
04,01,"EVANSVILLE STATE HOSPITAL",154030,IN,06,19911114,47715
04,01,"EVANSVILLE STATE HOSPITAL",154056,IN,00,"",47714
01,05,"STATE OF THE HEART HOME HEALTH AND HOSPICE",157547,IN,01,20080501,47371
02,11,"FORT WAYNE STATE DEVELOPMENTAL CENTER",15G001,IN,01,20070418,46835
02,11,"CENTRAL STATE HOSPITAL",15G002,IN,01,19940511,46222
02,11,"NORTHERN IN STATE DEVELOPMENTAL CENTER",15G003,IN,01,19971231,46634
02,11,"MUSCATATUCK STATE DEVELOPMENTAL CENTER",15G004,IN,01,19990318,47223
02,11,"NEW CASTLE STATE DEVELOPMENTAL CENTER",15G005,IN,01,19970728,47362
02,11,"LOGANSPORT STATE HOSPITAL",15G006,IN,01,20120621,46947
02,11,"EVANSVILLE STATE HOSPITAL",15G007,IN,01,20110224,47714
02,11,"MADISON STATE HOSPITAL",15G122,IN,01,20110218,47250
02,11,"MUSCATATUCK STATE DEV CTR",15G683,IN,01,20050422,47223
02,11,"MUSCATATUCK STATE DEV CENTER",15G684,IN,01,20030901,47223
02,11,"MUSCATATUCK STATE  DEV CTR",15G685,IN,01,20030901,47223
02,11,"MUSCATATUCK STATE DEVELOPMENTAL CENTER",15G688,IN,01,20030901,47223
01,21,"STATE LINE HEALTH NETWORK",171801,KS,01,19960531,67756
01,21,"STATE LINE HEALTH NETWORK",171802,KS,01,19960531,67730
04,01,"TOPEKA STATE HOSP PSYCHIATRIC",174001,KS,05,19880301,66606
04,01,"OSAWATOMIE STATE HOSPITAL PSYCHIATRIC",174004,KS,05,20151221,66064
04,01,"LARNED STATE HOSPITAL",174006,KS,00,"",67550
04,01,"TOPEKA STATE HOSPITAL",174017,KS,01,19970601,66606
03,02,"WHEAT STATE MANOR",175451,KS,00,"",67154
02,10,"WHEAT STATE MANOR",17E434,KS,07,20020201,67154
02,11,"PARSONS STATE HOSPITAL & TRAINING CENTER",17G003,KS,00,"",67357
02,11,"NORTON STATE HOSPITAL",17G005,KS,01,19880912,67654
02,11,"WINFIELD STATE HOSP",17G007,KS,05,19870814,67156
02,11,"WINFIELD STATE HOSP & TRAINING CENTER",17G034,KS,01,19980127,67156
04,01,"WESTERN STATE HOSPITAL",184002,KY,00,"",42240
04,01,"EASTERN STATE HOSPITAL",184004,KY,00,"",40511
04,01,"CENTRAL STATE HOSP",184005,KY,05,19860819,40223
04,01,"CENTRAL STATE HOSPITAL",184015,KY,00,"",40223
03,02,"WESTERN STATE NURSING FACILITY",185228,KY,00,"",42240
03,02,"GLASGOW STATE NURSING FACILITY",185363,KY,00,"",42141
03,02,"EASTERN STATE HOSPITAL LONG TERM-ACQUIRED BRAIN",185475,KY,00,"",40511
01,15,"TRI STATE DIGESTIVE DISORDER CENTER",18C0001020,KY,00,"",41017
02,10,"WESTERN STATE HOSP",18E137,KY,07,19910103,42240
02,10,"GLASGOW STATE ICF",18E138,KY,07,19921127,42141
04,01,"CENTRAL LOUISIANA STATE HOSP",194002,LA,03,19870722,71360
04,01,"CENTRAL LOUISIANA STATE HOSPITAL",194025,LA,00,"",71361
01,14,"TRI STATE PHYSICAL THERAPY INC",194500,LA,04,19880404,71103
01,08,"TRI STATE PHYSICAL THERAPY INC",196519,LA,04,19910630,71103
01,08,"TRI STATE PHYSICAL THERAPY INC",196593,LA,04,20001001,71103
01,05,"BAYOU STATE HOME CARE",197560,LA,04,19980801,71351
01,05,"MID STATE HOME HEALTH OF JENA",197616,LA,01,19981012,71342
02,11,"STATE STREET COMMUNITY HOME",19G432,LA,00,"",70125
04,01,"TAUNTON STATE HOSPITAL",224001,MA,00,"",2780
04,01,"WESTBOROUGH STATE HOSP",224012,MA,05,19861105,1581
04,01,"WESTBOROUGH STATE HOSPTIAL",224026,MA,01,20100701,1581
04,01,"MEDFIELD STATE HOSPITAL",224030,MA,01,20030405,2052
01,05,"OCEAN STATE & BLACKSTONE VALLEY H C",227418,MA,01,20010101,2019
01,15,"BAY STATE HEALTH CARE CENTER",22C0001008,MA,01,19930104,2190
02,11,"BELCHERTOWN STATE SCHOOL-B",22G001,MA,01,19921231,1007
"",01,"PINE BLUFF STATE HOSP",21014E,MD,00,"",21801
"",01,"HENRYTON STATE HOSP",21019E,MD,01,19850701,21784
01,21,"TRI-STATE COMMUNITY HEALTH CENTER",211809,MD,00,"",21750
01,21,"TRI-STATE COMMUNITY HEALTH CENTER",211828,MD,00,"",21502
01,21,"TRI-STATE WOMEN'S HEALTH CENTER",211849,MD,00,"",21502
01,08,"TRI-STATE REHAB INC",216610,MD,00,"",21740
02,10,"MT WILSON STATE HOSP ICF",21E126,MD,01,19851130,21112
"",01,"BANGOR STATE HOSP",20005E,ME,04,19910301,4401
01,01,"REHAB INSTITUTE AT TRI-STATE HOSPITAL",230161,MI,01,19960103,49107
01,16,"FIRST STATE HOSPICE CARE INC",231634,MI,00,"",48603
01,09,"STATE FAIR DIALYSIS CENTER",232578,MI,00,"",48203
04,01,"NEWBERRY STATE HOSPITAL",234008,MI,01,19920916,49868
01,14,"MICHIGAN STATE UNIV REHAB MED CLINIC",234511,MI,01,20131001,48824
01,08,"MICH STATE UNIV OLIN HLTH CTR",236569,MI,01,20060608,48824
01,05,"ALL STATE HOME CARE",237663,MI,01,20130515,48202
01,05,"FIRST STATE HOME HEALTH CARE",239114,MI,00,"",48603
01,05,"1ST STATE HOME HEALTHCARE",239290,MI,00,"",48603
02,11,"STATE ROAD AIS HOME",23G180,MI,04,19981001,48823
02,11,"STATE ROAD AIS HOME",23G547,MI,04,19981001,48857
02,10,"FARIBAULT STATE HOSP",24A273,MN,07,19870501,55021
01,01,"FISCHEL ELLIS STATE CANCER HOSPITAL",260146,MO,07,19930701,65201
01,01,"ST LOUIS STATE MENTAL HOSPITAL",260171,MO,01,19880701,63139
"",01,"ST LOUIS STATE SCHOOL & HOSP",26024E,MO,01,19910801,63137
02,01,"ST LOUIS STATE HOSP MED/SURG",262008,MO,07,19850630,63139
01,09,"STATE LINE DIALYSIS",262677,MO,00,"",64114
04,01,"NEVADA STATE HOSPITAL",264003,MO,01,19910805,64772
04,01,"FULTON STATE HOSPITAL",264004,MO,00,"",65251
01,01,"SOUTH MISSISSIPPI STATE HOSPITAL",250111,MS,01,19890630,39440
01,01,"KUHN MEMORIAL STATE HOSPITAL",250114,MS,01,19890630,39180
01,21,"STATE LINE MEDICAL CENTER",251840,MS,00,"",39362
01,12,"TRI STATE RURAL HEALTH CLINIC",253964,MS,00,"",38835
04,01,"SOUTH MISSISSIPPI STATE HOSPITAL",254008,MS,00,"",39475
04,01,"NORTH MISSISSIPPI STATE HOSPITAL",254009,MS,00,"",38804
04,01,"MS STATE HOSPITAL-WHITFIELD",254010,MS,00,"",39193
01,05,"MS STATE BOARD OF HEALTH PAREN",257084,MS,01,20090630,39205
01,01,"MONTANA STATE HOSPITAL-GALEN CAMPUS",270055,MT,01,19930630,59722
04,01,"MONTANA STATE HOSPITAL",274086,MT,00,"",59756
02,10,"MONTANA STATE HOSP/ICF",27A015,MT,01,19930630,59756
02,10,"MONTANA STATE HOSP BLDG 219",27A078,MT,01,20001128,59756
02,10,"MONTANA STATE HOSP/ICF",27E015,MT,07,19910228,59756
02,10,"MONTANA STATE HOSP BLDG 219",27E078,MT,07,19910131,59756
03,02,"NC STATE VETERANS HOME - FAYETTEVILLE",345492,NC,00,"",28301
03,02,"NORTH CAROLINA STATE VETERANS NURSING HOME SALISBU",345531,NC,00,"",28145
03,02,"NC STATE VETERANS HOME-BLACK MOUNTAIN",345558,NC,00,"",28711
03,02,"NC STATE VETERANS HOME-KINSTON",345560,NC,00,"",28504
01,01,"ST LUKES TRI-STATE HOSPITAL",350023,ND,07,20001231,58623
04,01,"NORTH DAKOTA STATE HOSP",354001,ND,07,19870413,58401
04,01,"NORTH DAKOTA STATE HOSPITAL",354003,ND,00,"",58401
03,02,"STATE DEVELOPMENTAL CENTER",355121,ND,01,20021101,58237
02,11,"SAN HAVEN/GRAFTON STATE SCHOOL BLDG 4",35G004,ND,01,19870430,58371
02,11,"GRAFTON STATE SCH/PRAIRIEVIEW",35G017,ND,04,19890514,58237
01,01,"BEATRICE STATE DEVELOPMENTAL CENTER",280123,NE,01,20081231,68310
02,11,"BEATRICE STATE DEVELOPMENTAL CENTER",28G002,NE,05,20090923,68310
02,11,"400 STATE BUILDING",28G107,NE,00,"",68310
02,11,"STATE COTTAGES",28G108,NE,00,"",68310
01,21,"MID-STATE HEALTH CENTER",301817,NH,00,"",3264
01,21,"MID- STATE HEALTH CENTER",301818,NH,00,"",3222
01,15,"GRANITE STATE SURGICENTER",30C0001038,NH,00,"",3054
01,15,"GRANITE STATE SURGICENTER",30C0001039,NH,00,"",3878
02,11,"LACONIA STATE SCHOOL-DWINELL BLDG",30G002,NH,01,19870807,3246
02,11,"LACONIA STATE SCHOOL-RICE BLDG",30G003,NH,01,19901231,3246
"",01,"NEW LISBON STATE COLONY HOSP",31010E,NJ,01,20050617,8064
01,01,"GARDEN STATE COMMUNITY HOSPITAL",310117,NJ,01,19920415,8053
"",01,"NEW JERSEY STATE PRISON FARM HOSP",31012E,NJ,01,20050617,7065
"",01,"NEW JERSEY STATE PRISON HOSP",31013E,NJ,01,20050617,8625
"",01,"VINELAND STATE SCHOOL HOSP",31014E,NJ,01,20050617,8360
"",01,"STATE COLONY HOSP",31016E,NJ,01,20050617,8270
"",01,"WOODBRIDGE STATE SCHOOL & HOSP",31018E,NJ,01,20050617,7095
01,21,"RUTGERS, THE STATE UNIVERSITY  OF NEW JERSEY",311925,NJ,00,"",7101
